repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,distinct_branches,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,z_distinct_branches,max_z,anomaly_feature
wavetermdev/waveterm,38,22,0.18421052631578946,1.7272727272727273,0.00015208638506671789,0,0.45375273831289736,5.39540391236812,0.0448137287669613,-0.03486352508453266,-0.876851590591076,-0.07819981116581376,5.39540391236812,unique_actors
Gen-Verse/OpenClaw-RL,32,22,0.0,1.4545454545454546,0.0001307932200064579,0,0.37127488423835997,5.39540391236812,-0.46454989815209413,-0.03881829927147224,-0.8768909885347774,-0.07819981116581376,5.39540391236812,unique_actors
NousResearch/hermes-agent-self-evolution,22,22,0.0,1.0,9.000605495278773e-05,0,0.23381179411413103,5.39540391236812,-0.46454989815209413,-0.0454095895830382,-0.8769664554946205,-0.07819981116581376,5.39540391236812,unique_actors
bababuyyy/unity-isometric-pixel-pipeline,45,22,0.0,2.0454545454545454,0.0002330772936100565,0,0.5499769013998576,5.39540391236812,-0.46454989815209413,-0.030249621866436486,-0.876701736154401,-0.07819981116581376,5.39540391236812,unique_actors
TheBoredTeam/boring.notch,23,22,0.0,1.0454545454545454,9.273445689863721e-05,0,0.2475581031265539,5.39540391236812,-0.46454989815209413,-0.04475046055188161,-0.8769614072349582,-0.07819981116581376,5.39540391236812,unique_actors
nvim-lua/kickstart.nvim,23,22,0.0,1.0454545454545454,9.271651321411872e-05,0,0.2475581031265539,5.39540391236812,-0.46454989815209413,-0.04475046055188161,-0.8769614404354837,-0.07819981116581376,5.39540391236812,unique_actors
78/xiaozhi-esp32,23,22,0.0,1.0454545454545454,9.161704076958314e-05,0,0.2475581031265539,5.39540391236812,-0.46454989815209413,-0.04475046055188161,-0.87696347474806,-0.07819981116581376,5.39540391236812,unique_actors
tldraw/tldraw,115,22,0.4956521739130435,5.2272727272727275,0.0005032140059773073,23,1.5122185322694603,5.39540391236812,0.9059862706760726,0.015889410314525267,-0.8762019123397888,4.012355681709784,5.39540391236812,unique_actors
duckduckgo/Android,164,22,0.08536585365853659,7.454545454545454,0.000669494327668486,22,2.185787673878182,5.39540391236812,-0.22850333933594646,0.04818673284119848,-0.8758942501047883,3.8345054428891063,5.39540391236812,unique_actors
toeverything/AFFiNE,44,22,0.38636363636363635,2.0,0.00017993849375122685,0,0.5362305923874348,5.39540391236812,0.6037906959703403,-0.030908750897593082,-0.8768000568802904,-0.07819981116581376,5.39540391236812,unique_actors
