repo_name,total_events,unique_actors,bot_events,first_event,last_event,phish_name_flag,ai_coauthor_flag,total_payload_b,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
icecliffs/icecliffs,1,1,1,2026-04-15 12:02:00+00:00,2026-04-15 12:02:00+00:00,False,False,614,1.0,1.0,0.0,1.0,1,0,4
UnaScott/Scott,1,1,1,2026-04-15 12:00:00+00:00,2026-04-15 12:00:00+00:00,False,False,604,1.0,1.0,0.0,1.0,1,0,4
adithyaaditya/AutoGreen,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,620,1.0,1.0,0.0,1.0,1,0,4
simonw/scrape-florida-outages,1,1,1,2026-04-15 12:00:27+00:00,2026-04-15 12:00:27+00:00,False,False,632,1.0,1.0,0.0,1.0,1,0,4
jaypoulz/cloud-provider-powervs,1,1,1,2026-04-15 12:00:27+00:00,2026-04-15 12:00:27+00:00,False,False,631,1.0,1.0,0.0,1.0,1,0,4
kernel1337/capa,1,1,1,2026-04-15 12:00:27+00:00,2026-04-15 12:00:27+00:00,False,False,576,1.0,1.0,0.0,1.0,1,0,4
dmxbb/yaml_file,1,1,1,2026-04-15 12:00:27+00:00,2026-04-15 12:00:27+00:00,False,False,606,1.0,1.0,0.0,1.0,1,0,4
S0KPiseth/S0KPiseth,1,1,1,2026-04-15 12:00:27+00:00,2026-04-15 12:00:27+00:00,False,False,612,1.0,1.0,0.0,1.0,1,0,4
baixiaonian/website-hot-hub,1,1,1,2026-04-15 12:00:28+00:00,2026-04-15 12:00:28+00:00,False,False,628,1.0,1.0,0.0,1.0,1,0,4
AdrianBabieczko/K_M15_React,1,1,1,2026-04-15 12:00:28+00:00,2026-04-15 12:00:28+00:00,False,False,595,1.0,1.0,0.0,1.0,1,0,4
justatest694/street-ready-mind,1,1,1,2026-04-15 12:00:28+00:00,2026-04-15 12:00:28+00:00,False,False,629,1.0,1.0,0.0,1.0,1,0,4
benhunter/benhunter,1,1,1,2026-04-15 12:02:06+00:00,2026-04-15 12:02:06+00:00,False,False,612,1.0,1.0,0.0,1.0,1,0,4
denny0810/dongtai-sub,1,1,1,2026-04-15 12:02:06+00:00,2026-04-15 12:02:06+00:00,False,False,618,1.0,1.0,0.0,1.0,1,0,4
jtg79/MyConfigServer,1,1,1,2026-04-15 12:02:06+00:00,2026-04-15 12:02:06+00:00,False,False,616,1.0,1.0,0.0,1.0,1,0,4
AIML4OS/funathon-project1,1,1,1,2026-04-15 12:00:28+00:00,2026-04-15 12:00:28+00:00,False,False,798,1.0,1.0,0.0,1.0,1,0,4
Unpiloted0852/AvWx-Web,1,1,1,2026-04-15 12:00:28+00:00,2026-04-15 12:00:28+00:00,False,False,620,1.0,1.0,0.0,1.0,1,0,4
evilbobdole-boop/bestball-tracker,1,1,1,2026-04-15 12:00:28+00:00,2026-04-15 12:00:28+00:00,False,False,642,1.0,1.0,0.0,1.0,1,0,4
SavageGarrett/SavageGarrett,1,1,1,2026-04-15 12:00:28+00:00,2026-04-15 12:00:28+00:00,False,False,628,1.0,1.0,0.0,1.0,1,0,4
